id,nombre,descripcion,lat,lng
1,Obelisco,"El Obelisco de Buenos Aires es un monumento histórico considerado un ícono de la ciudad de Buenos Aires, construido en 1936 con motivo del cuarto centenario de la llamada primera fundación de la ciudad por Pedro de Mendoza.",-34.603544,-58.381586
4,Plaza Lavalle,"La plaza Lavalle es una espacio verde de tres manzanas de Buenos Aires, Argentina. Se encuentra en el barrio de San Nicolás, rodeada de las calles Libertad, Lavalle, Talcahuano y avenida Córdoba.",-34.601936,-58.384335
5,Teatro Colon,"El Teatro Colón es un teatro de ópera de la ciudad de Buenos Aires. Por su tamaño, acústica y trayectoria, está considerado uno de los cinco mejores del mundo. Según una encuesta realizada por el experto en acústica Leo Beranek a destacados directores internacionales de ópera y de orquesta, el Teatro Colón posee la sala con la mejor acústica para ópera y la segunda mejor para conciertos del mundo.",-34.600879,-58.38309
2,Plaza General San Martin,"La Plaza General San Martín es el principal espacio verde en el barrio de Retiro en Buenos Aires. Inaugurada en 1862 donde antes había existido una plaza de toros, fue declarada Lugar Histórico Nacional en 1942.",-34.594627,-58.375626
3,Patio Bullrich,"El Patio Bullrich es un centro comercial en el barrio de Retiro, Ciudad de Buenos Aires, Argentina.",-34.588917,-58.384196
6,Cementerio de la Recoleta,"El Cementerio de la Recoleta es un famoso cementerio de la ciudad de Buenos Aires, Argentina. Está ubicado en el distinguido barrio de Recoleta y contiene las tumbas de numerosas personalidades destacadas del país. Se inauguró el 17 de noviembre de 1822, durante la gobernación del brigadier general Martín Rodríguez, siendo ministro de Gobierno Bernardino Rivadavia. Se transformó así en el primer cementerio público de la ciudad.",-34.587298,-58.393441
7,Centro Cultural Recoleta,"El Centro Cultural Recoleta (en un comienzo llamado Centro Cultural Ciudad de Buenos Aires) es un centro de exposiciones ubicado en el barrio de Recoleta, en la Ciudad de Buenos Aires. Fue declarado Monumento Histórico Nacional y forma parte de un polo de atractivos turísticos y de esparcimiento, junto al Cementerio de la Recoleta y la Plaza Intendente Alvear, mal llamada Plaza Francia(Esta se encuentra donde se alza el Monumento de Francia a la Argentina, frente al Museo Nacional de Bellas Artes). Ocupa el edificio del antiguo Asilo General Viamonte, y se trata de uno de los espacios culturales de mayor importancia de la ciudad.",-34.586265,-58.391789
8,Plaza Francia,"La Plaza Francia es un espacio público verde en el barrio de Recoleta, ciudad de Buenos Aires. Popularmente, la gente le ha trasladado su nombre a la cercana Plaza Intendente Alvear, lo cual puede llevar a confusiones.",-34.584892,-58.393203
9,Museo Nacional de Bellas Artes,El Museo Nacional de Bellas Artes (MNBA) es un museo y una Galería de arte argentino con sedes en la Ciudad de Buenos Aires y en la ciudad de Neuquén (MNBA Neuquén). Tiene el mayor patrimonio artístico del país y es uno de los principales de América Latina.,-34.583836,-58.392924
10,Biblioteca Nacional,"Una biblioteca nacional es aquella institución en la cual se deposita, acopia, preserva y difunde el patrimonio bibliográfico (libros, diarios, revistas, folletos, grabaciones, etc.) de un país. A diferencia de una biblioteca pública, está integrada por colecciones únicas e históricas de acceso restringido al público en general. Contiene por ejemplo primeras ediciones de obras históricas. Y, a diferencia de un Archivo Nacional, no guarda los documentos administrativos, legales o colecciones de instituciones públicas o particulares.",-34.584658,-58.398074
11,Congreso de la Nación Argentina,"El Congreso de la Nación Argentina es el órgano que ejerce el poder legislativo federal de la República Argentina. Este se conforma por una asamblea bicameral, con 329 miembros dividido en una Cámara de Diputados que consta de 257 diputados, y un Senado que consta de 72 senadores.",-34.609785,-58.392628
12,Palacio Barolo,"El Palacio Barolo (también llamado Pasaje Barolo o Galería Barolo) es un edificio de oficinas ubicado sobre la Avenida de Mayo, en el barrio de Monserrat, en Buenos Aires, Argentina. Fue diseñado por el italiano Mario Palanti e inaugurado en 1923. Hasta los años 1930 fue el más alto de la ciudad y de América del Sur al igual que su hermano gemelo el Palacio Salvo, construido por el mismo arquitecto en Montevideo. En 1997 fue declarado Monumento Histórico Nacional.",-34.609538,-58.385832
13,Café Tortoni ,"El Café Tortoni, ubicado en el 825 de la Avenida de Mayo, en la Ciudad de Buenos Aires, Argentina. Su nombre casi sin dudas procede del que fuera a fines del siglo XIX el célebre Café Tortoni de París. Durante casi un siglo el Café Tortoni porteño-argentino es el más representativo del espíritu tradicional de la dicha avenida de Mayo, y es ya una leyenda de la ciudad de Buenos Aires. En tal café funcionó la peña literaria de mayor predicamento de Buenos Aires, liderada por el pintor Benito Quinquela Martín.

En la actualidad sigue siendo un lugar de difusión cultural y turístico por excelencia.",-34.608644,-58.378223
14,Plaza de Mayo,"La Plaza de Mayo, sitio fundacional de la ciudad de Buenos Aires, Argentina, nació de la unión de las plazas de la Victoria y del Fuerte, al demolerse, en 1884, una construcción llamada Recova Vieja, que las separaba.

Se encuentra en el denominado microcentro porteño, rodeada por las calles Hipólito Yrigoyen, Balcarce, Avenida Rivadavia y Bolívar del barrio de Monserrat. Nacen desde su lado oeste tres importantes avenidas: Presidente Julio A. Roca, Presidente Roque Sáenz Peña y Avenida de Mayo. En su entorno se encuentran varios de los principales monumentos y puntos de interés: el Cabildo histórico, la Casa Rosada (donde reside el Poder Ejecutivo de la Nación), la Catedral Metropolitana, el edificio del Gobierno de la Ciudad de Buenos Aires y la casa central del Banco Nación.",-34.608331,-58.372283
15,Museo Histórico Nacional del Cabildo y la Revolución de Mayo,"En el edificio llamado Cabildo de Buenos Aires funcionó el Cabildo de la Ciudad de la Santísima Trinidad y Puerto de Nuestra Señora del Buen Ayre, una institución que inicialmente fue un cabildo colonial fundado por Juan de Garay en 1580 cuando la segunda fundación de la ciudad de Buenos Aires y que luego de la Revolución de Mayo de 1810, que derrocó al virrey español Baltasar Hidalgo de Cisneros y derivó en la guerra que llevó a la independencia de las Provincias Unidas del Río de la Plata, se transformó en una Junta de Gobierno que funcionó hasta su disolución en 1821 por el gobernador de Buenos Aires Martín Rodríguez.",-34.608734,-58.373788
16,Casa Rosada,"La Casa Rosada es la sede del Poder Ejecutivo de la República Argentina. Dentro de la misma se encuentra el despacho del presidente de la Nación Argentina.

Este edificio se localiza en la calle Balcarce 50, en el barrio de Monserrat en la Ciudad de Buenos Aires, frente a la histórica Plaza de Mayo. Su color característico es rosado y es considerado uno de los edificios más emblemáticos de Buenos Aires. Alberga además el Museo de la Casa de Gobierno, con objetos relacionados con los presidentes del país. En 1942 fue declarada Monumento Histórico Nacional.",-34.608029,-58.370289
17,Pirámide de Mayo,"La Pirámide de Mayo es el primer monumento patrio que tuvo la Ciudad de Buenos Aires (Argentina). Actualmente se encuentra en el centro de la Plaza de Mayo. Su historia comienza en marzo de 1811 cuando la Junta Grande decidió mandar a construir un monumento del lado oeste de la plaza, para celebrar el primer aniversario de la Revolución de Mayo.

En 1856, bajo la dirección del artista Prilidiano Pueyrredón, se la transformó construyendo una nueva pirámide sobre los cimientos de la anterior, que es la que se observa actualmente.

En 1912, después de haber sufrido algunas modificaciones, se la trasladó al sitio actual, 63 m más al este de donde se encontraba originalmente, pues se pensaba erigir un enorme monumento que la contuviera en su interior.

La escultura de la Libertad, obra del escultor francés Joseph Dubourdieu, corona al monumento que, desde el suelo hasta la parte superior del gorro frigio de dicha escultura, ha servido de modelo para la alegoría de la Argentina, y mide 18,76 m.",-34.608435,-58.372247
18,Catedral Metropolitana,"La Catedral Metropolitana de Buenos Aires (de la Santísima Trinidad) es el principal templo católico de Argentina. Se encuentra ubicada en el barrio porteño de San Nicolás, en la intersección de la calle San Martín y la avenida Rivadavia, en frente a la Plaza de Mayo.",-34.607534,-58.373279
19,Riachuelo,"El río Matanza-Riachuelo, llamado Riachuelo en su desembocadura y río Matanza en la mayor parte de su desarrollo, es un curso de agua de 64 km al Este de Argentina, que nace en la provincia de Buenos Aires, constituye el límite Sur de la ciudad autónoma de Buenos Aires y desemboca en el Río de la Plata. Esta desembocadura origina el nombre del barrio porteño de La Boca. La Cuenca Matanza-Riachuelo se encuentra localizada al noreste de la provincia de Buenos Aires. Tiene una longitud aproximada de 60 km y una dirección general Sudoeste-Noreste, y un ancho medio de 35 m, cubriendo una superficie de 2200 km² hasta la desembocadura en el Río de La Plata.",-34.639653,-58.361651
20,Fundacion Proa,"La Fundación Proa es un centro privado de arte fundado en Argentina en 1996, que desarrolla programas de educación y de intercambio con instituciones culturales. Su foco está centrado en la difusión de los grandes movimientos artísticos del siglo XX.",-34.639683,-58.362037
21,Caminito,"Caminito es un callejón museo y un pasaje tradicional, de gran valor cultural y turístico, ubicado en el barrio de La Boca de la Ciudad de Buenos Aires, Argentina. El lugar adquirió significado cultural debido a que inspiró la música del famoso tango Caminito (1926), compuesta por Juan de Dios Filiberto.

Por el contrario, la letra del conocido tango, escrita por el riojano Gabino Coria Peñaloza, está inspirada en un sendero de la localidad de Olta, en la provincia de La Rioja. Por esta razón y en homenaje a Coria Peñaloza, en 1971 una calle de la localidad de Chilecito, recibió también el nombre de ""Caminito"".",-34.639253,-58.362723
22,El Rincón de Lucía,Es un museo que muestra cómo vivían los primeros inmigrantes en la mitad del siglo XIX. ,-34.639338,-58.36269
23,Plaza Dorrego,"Plaza Dorrego es el nombre con que popularmente se designa a la Plaza Coronel Manuel Dorrego. Se encuentra en el corazón del barrio de San Telmo, en Buenos Aires, Argentina y ocupa un cuarto de manzana. Está delimitada por las calles Humberto I° y Defensa y por dos cortadas: Una paralela a Humberto I° llamada Bethlem, y otra paralela a Defensa con el nombre del bandoneonista y compositor de tango Anselmo Aieta.

Antiguamente a este lugar se lo denominaba Hueco del Alto o Alto de las carretas, pues era allí donde los carros tirados por bueyes se detenían antes de cruzar el arroyo Tercero del Sur (hoy calle Defensa y Pasaje San Lorenzo) en su trayecto al centro de la ciudad. Posteriormente su nombre cambió por Alto de San Pedro, y luego Plaza del Comercio (1822), entre otros. En 1900, el nombre de la plaza cambió por el actual.

Actualmente constituye uno de los principales paseos turísticos peatonales de Buenos Aires. A su alrededor se encuentran cafés, bares y pubs con sus mesas sobre la plaza; y también casas de antigüedades y artesanías. Abundan los shows de músicos y baile callejero, incluyendo exhibiciones de tango. Los domingos tiene lugar la Feria de antigüedades de San Pedro Telmo, ""Arquitecto José María Peña"", durante la cual la plaza Dorrego es ocupada por puestos de antigüedades y curiosidades que son recorridos por numerosos turistas tanto del país como del extranjero y que contribuyen a darle a esa zona del barrio una fisonomía muy particular.

Los edificios que se encuentran alrededor de la plaza mantienen su aspecto original gracias al apoyo de la Comisión del Museo de la Ciudad.

En 1978 la plaza fue declarada Lugar Histórico debido a que en su sitio el pueblo de Buenos Aires adhirió a la Declaración de independencia de la Argentina.",-34.620493,-58.371756
24,La Casa Minima,"En la ciudad de Buenos Aires, Argentina se conoce como la casa mínima a una vivienda ubicada en el número 380 del Pasaje San Lorenzo, barrio de San Telmo. Con sólo 2,5 metros de ancho y 13 metros de profundidad, tiene la particularidad de ser la más angosta de la ciudad.

Tiene una fachada exterior lisa, con una pequeña entrada y una puerta pintada de verde atravesada por una cerradura de hierro. Mantiene sus paredes de barro cocido y otros elementos originales.En la planta superior asoma un balconcito con barrotes verticales de hierro, desde donde se esconde una ventana de dos hojas simétricas y dos cortinas iguales pliegue a pliegue. Por sobre la cornisa aparecen algunas plantas que dejan ver los cimientos a través de los viejos y descascarados materiales.",-34.616682,-58.371284
25,Paseo de la Historieta,"Todo aquel que visite el barrio de San Telmo puede recorrer al Paseo de la historieta donde esperan los más queridos y recordados personajes. A lo largo de unas cuadras murales y figuras de gran tamaño rinden tributo a las historietas más famosas del país. El recorrido invita a caminar por estas calles y encontrarse con Largirucho, Isidoro Cañones, Matías o Mafalda y revivir las imágenes de Clemente, Inodoro Pereyra, Anteojito o la Bruja Cachavacha.",-34.612786,-58.370614
26,Palacio San Martin,"El Palacio San Martín, también llamado Palacio Anchorena, es la sede ceremonial de la Cancillería de la República Argentina, dependiente del Ministerio de Relaciones Exteriores y está situado frente a la Plaza San Martín en el barrio de Retiro de Buenos Aires.

Historia:
El palacio de estilo Bellas Artes fue diseñado para Mercedes Castellanos de Anchorena, miembro de una de las familias más representativas de la aristocracia porteña, por el arquitecto Alejandro Christophersen en 1905. Construido a partir de 1909, fue inaugurado por la familia Anchorena para conmemorar el centenario de la declaración de la Independencia Argentina. Desde su edificación y durante los veinte años en que fue propiedad de la familia Anchorena fue conocido popularmente como el Palacio Anchorena, hasta que en 1936 fue adquirido por el gobierno argentino y se convirtió en la sede del Ministerio de Relaciones Exteriores, pasándose a llamar Palacio San Martín. En el año 1993 se inauguró el Edificio Cancillería (Buenos Aires), un moderno edificio para el funcionamiento de ese Ministerio, quedando el tradicional palacio como la sede ceremonial de la Cancillería Argentina.

El palacio contiene muchas obras de arte de artistas argentinos y americanos del siglo XX, como Antonio Berni, Pablo Curatella Manes, Lino Enea Spilimbergo y Roberto Matta, además se encuentra en él una colección de arte Precolombina y una biblioteca especializada en derecho internacional y de historia de las relaciones internacionales.

Es considerado como monumento histórico nacional desde 1994 (MHN).",-34.593933,-58.378025
27,Ex-Embajada de Israel,"Actualmente el sitio en el que se encontraba la embajada de Israel ha sido preservado como un sitio para la memoria. Allí se ha preservado una parte del muro original de la embajada; los nombres de los Fallecidos han sido colocados en una placa y se plantaron dos líneas de tilos, cada uno de ellos simbolizando de una manera firme de recordar a cada una de las personas fallecidas. También allí se encuentra el monumento a las víctimas y al Estado de Israel por el atentado. La plaza fue inaugurada el 17 de marzo del año 2000.

Cada 17 de marzo a las 15:00, se recuerda a las víctimas del atentado en esta plaza de la memoria.

La embajada hoy en día funciona en el décimo piso de la Torre La Buenos Aires, en la Avenida de Mayo.",-34.591523,-58.380422
28,Embajada de Francia,"La Embajada de Francia en Argentina es la misión diplomática de la República Francesa en la República Argentina. La embajada está situada en el Palacio Ortiz Basualdo de la Ciudad de Buenos Aires y el actual embajador es Jean-Michel Casa desde 2013. El Consulado General de Francia se inauguró oficialmente el 21 de septiembre de 2009 en el número 1253 de la calle Basavilbaso, a pocas cuadras de la Cancillería Argentina.",-34.591698,-58.382551
29,Embajada de Brasil,"La Embajada de Brasil en Buenos Aires es la principal misión diplomática de Brasil en Argentina .

Se encuentra al principio de la Avenida Alvear y al otro lado de la Plaza Carlos Pellegrini. El edificio-sede es de gran importancia histórica, siendo uno de los palacios de la burguesía porteña de principios del siglo XX. Originalmente residencia privada, fue adquirida en 1945 por el gobierno brasileño para su sede diplomática. ",-34.592171,-58.38296
30,Árbol Patrimonio Histórico,"El árbol está donde termina la avenida Presidente Quintana y es vecino destacado de la Basílica del Pilar y de la entrada al famoso cementerio. Por supuesto, no pasa desapercibido: su base está cercana a los diez metros de diámetro, su copa ronda los cuarenta metros de altura y algunas de sus ramas superan los treinta metros, lo que obligó a colocar puntales de hierro para sostenerlas. Pertenece a la especie conocida como ficus elástica, un tipo de árbol que se caracteriza por desarrollar raíces aéreas y fuertes que le permitan un buen anclaje al piso. Esa es la clave para después poder expandir esas ramas horizontales que, en este ejemplar y en algunos tramos, tienen más de un metro de diámetro.
Aníbal Fernández trató de ""boca sucia"" a Mariana Zuvic y explicó por qué cargaron 100 kilos de cocaína en el Tango 03
Aníbal Fernández trató de ""boca sucia"" a Mariana Zuvic y explicó por qué cargaron 100 kilos de cocaína en el Tango 03
5
Eduardo Parise

 
 
árbolCiudad De Buenos AiresEdición ImpresaGomeroSecretaViejito
Para los buceadores de la historia, es uno más de los tantos inmigrantes que llegaron a estas tierras a echar raíces y quedarse para siempre. Y en este caso, el hecho es literal, porque se trata de un árbol. Unos dicen que llegó desde la India y afirman que, a fines del siglo XVIII, lo trajo un fray llamado Francisco de Altolaguirre, quien se lo entregó a su hermano Martín José de Altolaguirre, para que lo plantara en las tierras de la chacra que tenía en la zona de Recoleta. Otros atribuyen la plantación a los propios padres recoletos que ya estaban allí y que dieron nombre al barrio. Como quiera que sea, para muchos es el árbol más antiguo de Buenos Aires y todavía sigue en pie.

El árbol está donde termina la avenida Presidente Quintana y es vecino destacado de la Basílica del Pilar y de la entrada al famoso cementerio. Por supuesto, no pasa desapercibido: su base está cercana a los diez metros de diámetro, su copa ronda los cuarenta metros de altura y algunas de sus ramas superan los treinta metros, lo que obligó a colocar puntales de hierro para sostenerlas. Pertenece a la especie conocida como ficus elástica, un tipo de árbol que se caracteriza por desarrollar raíces aéreas y fuertes que le permitan un buen anclaje al piso. Esa es la clave para después poder expandir esas ramas horizontales que, en este ejemplar y en algunos tramos, tienen más de un metro de diámetro.

Quienes abonan la teoría de que lo plantó Altolaguirre se basan en que, hacia 1790, el hombre era dueño de una gran chacra que estaba sobre las barrancas del río. Como era agrónomo, allí existían olivos, árboles frutales y plantaciones de cáñamo y lino. Justamente, este último cultivo fue el que le permitió realizar los primeros ensayos textiles, en lo que sería una especie de estación agropecuaria experimental en la Ciudad. Cuentan que Altolaguirre era muy amigo del entonces joven abogado Manuel Belgrano, quien apoyó su proyecto desde su cargo de primer secretario del Consulado de Comercio de Buenos Aires. Es que una de las tareas de ese cargo contemplaba que el secretario promoviera la agricultura, la industria y el comercio.

Lo concreto es que ese “gran árbol del caucho” (como lo llamaron algunos), aunque popularmente lo denominan gomero, formó parte de aquel paisaje bucólico y del actual, ahora que pasaron más de dos siglos. Y no sólo eso: los conocedores sostienen que todos los otros árboles de esta especie que hay en los alrededores, son retoños de ese gigante que hasta resistió un intento de derribarlo, cuando se hicieron obras en el lugar. La fuerte defensa que plantearon los vecinos, inclusive en tiempos de dictadura cuando protestar era peligroso, evitó tal desatino. Aquel rescate promovido por la gente es el que, en la actualidad, permite que muchos de esos vecinos puedan sentarse a su sombra para disfrutar un café de La Biela, el famoso local que también lleva años en esa elegante y turística esquina porteña.",-34.587676,-58.391067
31,Iglesia Nuestra Señora del Pilar,La iglesia de Nuestra Señora del Pilar es una basílica ubicada en el barrio de Recoleta en la ciudad de Buenos Aires; en su día formó parte del convento de Franciscanos recoletos. Su construcción —que concluyó en el año 1732— se debe al mecenas aragonés Juan de Narbona. Desde el siglo XIX es una de las parroquias de la ciudad de Buenos Aires y el segundo templo más antiguo de la ciudad.,-34.586839,-58.391977
32,Museo Fragata Sarmiento,"En el período noviembre 1888 - junio 1889, la Corbeta La Argentina cumplió el cuarto viaje de aplicación de los cadetes de la Escuela Naval Militar. Esa nave iba al mando del Capitán de Navío Martín Rivadavia, quien comprobó que La Argentina presentaba defectos que hacían necesario su reemplazo por otra nave que estuviera provista de los más modernos elementos de la náutica y la hiciera idónea para cubrir adecuadamente la tarea de buque-escuela.

Fue así que en 1893 el capitán Rivadavia elevó al señor jefe del Estado Mayor General de Marina, Contraalmirante Daniel de Solier, un proyecto para construir un buque-escuela para la Armada Argentina.",-34.6089,-58.365645
33,Puente de La Mujer,"l puente de la Mujer es un puente atirantado de pilón contrapeso diseñado por el arquitecto español Santiago Calatrava en la Ciudad de Buenos Aires, Argentina. Es la primera de sus obras en América Latina (seguida por el Museu do Amanhã en Rio de Janeiro) y se encuentra ubicada en el Dique 3 de Puerto Madero, en Pierina Dealessi y Manuela Gorriti.",-34.607952,-58.365126
34,Vivero Reserva Ecológica,"Entre Puerto Madero y el Río de la Plata se encuentra la primer Área Natural Protegida de la Ciudad de Buenos Aires. A solo pocas cuadras del centro, este espacio verde de 350 hectáreas deja atrás rascacielos y torres y da paso a lagunas y bañados, bosques de alisos y cortaderales.
Pero la reserva no siempre estuvo ahí, en ese espacio al sur de la ciudad, delimitado al este por el río, al oeste por la avenida Intendente Hernán M. Giralt y la avenida Achával Rodríguez, al sur por la Ciudad Deportiva de Boca Juniors y al norte por el malecón de Puerto Nuevo. Conocer su historia es conocer una de las formas en que la naturaleza y la ciudad pueden convivir.

Antes, entre 1918 y 1950, en la Costanera Sur funcionó el Balneario Municipal. Allí iban los habitantes de Buenos Aires a disfrutar de un día junto al Río de la Plata; se bañaban en las aguas o disfrutaban de una cerveza en La Munich, la cervecería más importante del paseo de la costanera. Pero cuando el deterioro de las aguas empeoró, los porteños fueron dejando atrás este paseo.",-34.598156,-58.361803
35,Bosques de Palermo,"El Parque 3 de Febrero, conocido popularmente como Bosques de Palermo, es un conjunto de parques que se destacan por sus arboledas, lagos y rosedal, de una extensión cercana a las 40 ha, ubicado en el barrio de Palermo, en Buenos Aires, Argentina, que conforma la zona verde más popular de la ciudad y en cuyo diseño sobresalió el paisajista Charles Thays.",-34.571232,-58.417318
36,El Rosedal de Palermo,"El Rosedal de Palermo, también llamado Paseo del Rosedal, es un tradicional parque ubicado en el barrio de Palermo de la ciudad de Buenos Aires que integra el conjunto conocido como Parque Tres de Febrero. En sus 3,4 hectáreas posee 18.000 rosales y se encuentran emplazadas numerosas obras de arte, entre ellos 26 bustos de poetas y escritores, un puente griego y un patio andaluz.

Fue declarado Patrimonio Cultural de la Ciudad de Buenos Aires por la legislatura porteña el 14 de abril de 2011, lo que implica que cualquier restauración o trabajo nuevo que se le haga debe respetar el diseño original.

Obtuvo en 2012 y 2014 la distinción internacional Garden Excellence Award de la Federación Mundial de las Sociedades de la Rosa.",-34.570589,-58.417289
37,Jardín Japones,"El jardín japonés forma parte integrante de la tradición en las casas privadas de Japón, en la vecindad de los parques de las ciudades, en los templos Budistas o capillas Sintoistas, y en lugares históricos tal como viejos castillos. Muchos de los jardines japoneses más famosos en Occidente, y así mismo dentro del propio Japón, son los jardines Zen. La tradición de la Ceremonia del Té, ha generado jardines japoneses refinados en un grado sumo de cualquier otro estilo, que evocan la simpleza rural.

Surge muy pronto, ya en la era Heian, como arte importado de China. Se desarrollará durante las eras Kamakura, Muromachi, Momoyama y el periodo Edo hasta los jardines de la actualidad.",-34.576155,-58.409675
38,Jardín Botánico Carlos Thays,"Los Jardines Botánicos del latín hortus botanicus, son instituciones habilitadas por un organismo público, privado o asociativo (en ocasiones la gestión es mixta) cuyo objetivo es el estudio, la conservación y divulgación de la diversidad vegetal. Se caracterizan por exhibir colecciones científicas de plantas vivas, que se cultivan para conseguir alguno de estos objetivos: su conservación, investigación, divulgación y enseñanza.",-34.582478,-58.417361
39,Planetario Galileo Galilei,"El Planetario Galileo Galilei está ubicado en la intersección de Avenida General Sarmiento y Belisario Roldán, dentro del Parque Tres de Febrero, en el barrio de Palermo, en la ciudad de Buenos Aires, Argentina.

Su cúpula tiene 20 m de diámetro. Sobre ella pueden llegar a reproducirse 8900 estrellas fijas, constelaciones y nebulosas.

Su primera función se realizó en junio de 1967 y en 2011 sufrió una serie de reformas de gran importancia.

",-34.569641,-58.411647
40,Monumento de los Españoles,"El Monumento a La Carta Magna y las Cuatro Regiones Argentinas se encuentra situado en la ciudad de Buenos Aires, en la intersección de la Avenida del Libertador con la avenida General Sarmiento. Es conocido popularmente como Monumento de los españoles pues fue donado por la colectividad española en 1910 con motivo del centenario de la Revolución de Mayo. Es por lo tanto erróneo llamarlo, como muchas veces ocurre, ""a los españoles"".

El autor original de la obra fue el español Agustín Querol. Aunque la piedra de inauguración fue colocada en 1910, diversos inconvenientes retrasaron la finalización de la obra, que finalmente fue inaugurada en 1927.",-34.574916,-58.415052